id,name,location,club_type
1,Glasgow,,club
2,Birmingham Ultimate,,club
3,SMOG,,club
4,Mighty Hucks,,club
5,Black Sheep,,club
6,Thundering Herd,,club
7,Guildford Ultimate,,club
8,The Brown,,club
9,LLLeeds,,club
10,MUC,,club
11,Nemesis,,club
12,Manchester,,club
13,Ouseburn Social Club,,club
14,Geometrically Frustrated Magnets,,club
15,Sneeekys,,club
16,GB U24,,club
17,Reading,,club
18,Black Eagles,,club
19,Cambridge Ultimate,,club
20,Deep Space,,club
21,IronMandelas,,club
22,Heriot Watt Alumni,,club
23,Farflung,,club
24,EKU,,club
25,Rogue Pandas,,club
26,Brighton,,club
27,Horsham Ultimate,,club
28,BLU.,,club
29,Brighton Ultimate,,club
30,Camden Ultimate,,club
31,Team Surrey Ultimate,,club
32,Kent,,club
33,Brixton,,club
34,Plymouth Ultimate,,club
35,St Albans,,club
36,SCU,,club
37,Curve,,club
38,Cosmic Manatees,,club
39,Zooper Troupers,,club
40,Mythago,,club
41,PICNIC,,club
42,Oxford Ultimate,,club
43,Manchester Ultimate,,club
44,Alba,,club
45,Vision,,club
46,LED,,club
47,YOpen,,club
48,Uproar,,club
49,SCRAM,,club
50,untitLED,,club
51,Hydra,,club
52,Chiquititas,,club
53,EXÆŽ,,club
54,Meridian Ultimate,,club
55,North Wales,,club
56,Zoo,,club
57,Pic n Mix,,club
58,Leamington Lemmings,,club
59,Shakedown,,club
60,Norwich,,club
61,Dreadnought,,club
62,The Chilterns Collective,,club
63,SLOTHS,,club
64,Purple Cobras,,club
65,Bristol,,club
66,Ireland U24,,club
67,Flump,,club
68,Ka-Pow!,,club
69,EMO,,club
70,Ranelagh,,club
71,Fire of London,,club
72,Sharkbear!,,club
73,Oxford Opens,,club
74,Clapham Ultimate,,club
75,Red,,club
76,Shake & Bake,,club
77,GB U20,,club
78,Rebel Ultimate,,club
79,Chevron Action Flash,,club
80,Devon Ultimate,,club
81,BAF,,club
82,Ireland Junior,,club
83,SYC,,club
84,Discie Chicks,,club
85,Chaos x Brixton,,club
86,GB,,club
87,ExeTour,,club
88,Wight Wild Cards,,club
89,South Wales Storm,,club
90,Flyght Club,,club
91,PELT Ultimate,,club
92,GB Master,,club
93,Iceni,,club
94,Swift,,club
95,Deadly Buzz,,club
96,Uprising,,club
97,Bristol University,,club
98,GB U17,,club
99,Exe Ladies,,club
100,Throwback,,club
101,XVI,,club
102,PELT,,club
103,Gravity,,club
104,Rebel,,club
105,MPA,,club
106,TBC,,club
107,Royal Goaltimate Society,,club
108,Ireland,,club
109,DK,,club
110,Sheffield Steal,,club
111,Fresh People,,club
